 PLANO MUNICIPAL DE SAÚDE DE PARAUAPEBAS 2022 - 2025 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Diretriz 1 - Fortalecimento da Atenção Primária à Saúde e aprimoramento das Redes de Atenção à Saúde ampliando o acesso com qualidade e eficiência.;;;;;;;;;;;;;;;
Objetivo 1.1 - Aprimorar e fortalecer as ações e políticas estratégicas de saúde na atenção primária concomitante as redes de atenção em saúde, com o escopo de focar na promoção e prevenção da saúde.;;;;;;;;;;;;;;;
Descrição da Meta;;Meta         2022 ;Resultado RAG    2022;Meta 2023;1° RDQA;2° RDQA;3° RDQA;  RAG 2023;Meta 2024;1° RDQA;2° RDQA;3° RDQA;  RAG 2024;Meta  2025;  RAG 2025 1° Qd
Objetivo 1 - Implementar Ações para Valorização e Qualificação dos Servidores, aprimorando os processos de planejamento, monitoramento, controle, licenças e habilitações.;;;;;;;;;;;;;;;
78;Implantar a gestão de centros de custos na rede de saúde SUS em 100% até 2025;27,59;7,5;51,72;0;0;7,50;7,50;83,21;0;7,4;7,40;7,40;100;
79;100% dos serviços realizando Ações de Educação Permanente até 2025;40;95;60;55;60;76;93;80;63;30,9;80;80;100;
80;Alcançar 100% dos novos trabalhadores concursados e contratados, com capacitação introdutória, antes de ingressarem nos serviços ;60;40;80;100;80;93;93;90;28;28;28;28;100;
81;Alcançar 75% dos profissionais de saúde com ações de qualidade de vida e saúde do trabalhador;20;47,04;40;27,58;28,73;75,25;75,25;50;39,94;60,69;21,19;21,19;75;
82;Alcançar 75% dos serviços de saúde com a implantação dos GTH com plano de trabalho;20;0;40;0;Não Mensurado;11;11;50;0;50;50;50;75;
83;Criar 01 projeto anualmente de articulação de talentos na SEMSA nas áreas (arte/cultura e produção científica), até 2025;1;1;1;0;Não Mensurado;1;1;1;0;0;1;1;1;
84;Alcançar 90% de habilitação dos serviços ofertados até 2025;75;40;80;40;40;40;40;85;40;40;40;40;90;
85;Alcançar 40% de imóveis registrados até 2025;15;13,79;25;33,3;33,3;33,3;33,3;35;33,3;47,6;47,61;47,61;40;
86;Alcançar 50% de imóveis com Licença de Operação Ambiental até 2025;20;3,44;30;3,44;3,44;33,3;3,44;40;3,3;3,44;0;0;50;
87;Alcançar 50% de habite-se dos prédios públicos até 2025;15;6,88;25;6,88;6,88;6,88;6,88;35;6,88;6,88;7,7;7,7;50;
Diretriz 5 - Ampliação dos Investimentos em Saúde.;;;;;;;;;;;;;;;
Objetivo 1 - Construir,  ampliar e equipar as unidades de saúde.;;;;;;;;;;;;;;;
88;Ampliar a estrutura física de 07 unidades básicas de saúde até 2025;1;0;2;0;1;1;1;2;0;0;0;0;2;
89;Construir 06 unidades básicas de saúde até 2025;1;0;1;0;0;0;0;2;0;0;1;1;2;
90;Equipar as unidades de saúde que foram ampliadas e construidas, em 100% até 2025;100;0;100;0;0;0;0;100;0;100;0;0;100;
91;Construir 01 de Central de Imunização até 2025;0;1;0;0;0;NA;NA;0;0;0;0;0;1;
92;Construir 01 Centro de Zoonoses até 2025;0;NA;0;0;0;NA;NA;0;0;60;0;0;1;
93;Construir 02 Centros de Atenção Psicossocial até 2025 ( Caps II caps i);0;NA;1;0;0;NA;NA;1;0;0;0;0;0;
94;Construir 02 base descentralizada do SAMU até 2025;0;NA;1;0;0;NA;NA;1;0;0;0;0;0;
95;Construir 01 Centro de Reabilitação tipo IV com oficina ortopédica até 2025;0;NA;0;0;0;NA;NA;0;0;0;0;0;1;
96;Ampliar estrutura física do Pronto Socorro até 20025;0;NA;0;0;0;NA;NA;0;0;0;0;0;1;
97;Construir 01 heliponto até 2025;0;NA;0;0;0;NA;NA;0;0;0;0;0;1;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
